skill_abbr,skill_name,embedding
ART,Art/Creative,0.026048086296769357
DSGN,Design,0.509011619870624
ADVR,Advertising,0.3376855718097651
PRDM,Product Management,0.728568834618531
DIST,Distribution,0.24182604747895586
EDU,Education,0.7151208163942435
TRNG,Training,0.5270580780433298
PRJM,Project Management,0.9764924396695492
CNSL,Consulting,0.06888700689549998
PRCH,Purchasing,0.12082860872988344
SUPL,Supply Chain,0.41728527333969123
ANLS,Analyst,0.16390970721673903
HCPR,Health Care Provider,0.8315243775870176
RSCH,Research,0.561140446418935
SCI,Science,0.9839381875234368
GENB,General Business,0.581830440899078
CUST,Customer Service,0.7131073153242928
STRA,Strategy/Planning,0.30721250793184185
FIN,Finance,0.9781052489055363
OTHR,Other,0.21405901959703022
LGL,Legal,0.8167525371812527
ENG,Engineering,0.09685704146149332
QA,Quality Assurance,0.15255700084914614
BD,Business Development,0.43033837120257434
IT,Information Technology,0.7120728093744463
ADM,Administrative,0.03023192802436625
PROD,Production,0.34773829205131523
MRKT,Marketing,0.7414851071359564
PR,Public Relations,0.14514636081043075
WRT,Writing/Editing,0.9562518689462589
ACCT,Accounting/Auditing,0.5429400185715711
HR,Human Resources,0.3734489204424307
MNFC,Manufacturing,0.9849298176381946
SALE,Sales,0.25744100454024255
MGMT,Management,0.9241366256328799
